Vzorek,Plesne,Certovo,horizont,znaceni,cas,ID,CPcr,Dwpuvodni,DWovlhceni,pH,DOC,TN,DOC2,TN2,Cmic,Nmic,Pmic,CCO2,CCO2c,deltaCO2,CO2atm,CCO2.s,CCO2.g,CCO2.g2,Gl,Glcorrected,DOCatm,Cmicatm,Cmicg,CUE,Cmicg2,DOCg,DOCg2,Glfound,NH4,NO3,PO4,DOP,DON,NH42,NO32,DON2,PO42,BG,CELL,PH,ALA,CHIT,PHO,PER,bg,cell,phos,ala,chit,Sorption
16,1,0.0,O,NE,1,1,73.831684227,0.301181102,0.246869756,3.050000000,47.058156591,2.991200067,85.083213359,6.164827053,249.622078980,32.360647269,7.950730795,18.635605593,34.595028214,-24.540950607,0.010779393,18.635605593,0.000000000,0.000000000,0.000000000,0.000000000,0.010769326,0.010790269,,0.594465164,,,,,0.762726381,0.133578312,0.017395726,0.050049685,2.094895374,1.388404884,0.238821831,4.537600338,0.522840808,0.008447186,0.002103611,0.010259860,0.034194733,0.000992278,0.065441311,0.052060011,0.225405185,0.011554837,0.884767706,0.011448937,0.245272043,0.635717561
17,0.75,0.3,O,NE,1,2,69.834367248,0.323881372,0.265476535,3.047500000,44.638124788,4.763093850,78.333898478,7.301846667,228.219603723,30.018339997,5.631591566,16.697069457,30.993679147,-24.738424985,0.010776910,16.697069457,0.000000000,0.000000000,0.000000000,0.000000000,0.010773246,0.010787153,,0.574060400,,,,,2.341284257,0.177989226,0.017879278,0.030728035,2.243820368,2.839761635,0.270479095,4.191605937,0.583841848,0.010428603,0.002462791,0.010565186,0.034120564,0.001251517,0.056494901,0.059492219,0.268676922,0.015243298,0.791989724,0.000000000,0.218171087,0.797761357
18,0.5,0.5,O,NE,1,3,65.837050269,0.346581642,0.284083314,3.045000000,40.014472008,5.828004499,72.290636402,8.892936123,201.503096225,25.741661830,4.146246602,15.026880462,27.890966582,-25.531481115,0.010767654,15.026880462,0.000000000,0.000000000,0.000000000,0.000000000,0.010773125,0.010787610,,0.649175561,,,,,4.054766511,0.172361496,0.020345394,0.035534446,1.600876492,4.744212496,0.288944199,3.859779428,0.499976380,0.013162421,0.003396494,0.015977087,0.029512539,0.001621282,0.063489345,0.065611332,0.297909107,0.017254491,1.125171474,0.000000000,0.262536900,0.968564276
19,0.25,0.8,O,NE,1,4,61.839733290,0.369281913,0.302690092,3.042500000,40.388049561,8.407951347,66.556663639,10.612888276,245.799769583,24.675240255,4.275098336,12.998517394,24.123972265,-26.423452913,0.010756777,12.998517394,0.000000000,0.000000000,0.000000000,0.000000000,0.010774662,0.010785950,,0.687120601,,,,,5.880649288,0.185111464,0.016961244,0.029857024,2.342190595,7.103092383,0.332021581,3.177774311,0.421068992,0.020892757,0.003334610,0.018620027,0.020232662,0.002043839,0.057356061,0.048991633,0.505151743,0.043166936,1.308216786,0.000000000,0.288259681,0.832797853
20,0,1.0,O,NE,1,5,57.842416311,0.391982183,0.321296871,3.040000000,42.739724917,9.949306173,65.164807531,11.731086274,172.831136128,22.375414314,4.048044708,11.177893336,20.743113677,-26.534748607,0.010754581,11.177893336,0.000000000,0.000000000,0.000000000,0.000000000,0.010774663,0.010790766,,0.640175432,,,,,8.472533272,0.204604414,0.027938115,0.032151300,1.272168488,8.602271575,0.330566089,2.798248609,0.447110228,0.039704507,0.012191246,0.022853361,0.020833798,0.003185740,0.060113359,0.122628270,1.023978226,0.157827587,1.738467478,0.005386429,0.471365637,0.863454787
21,1,0.0,A,NE,1,6,73.831684227,0.334685598,0.301518557,2.620000000,38.860468443,3.010102336,47.486111818,3.850589760,134.546623222,16.102171436,6.442100502,12.406679048,22.093718528,-26.652460740,0.010760447,12.406679048,0.000000000,0.000000000,0.000000000,0.000000000,0.010767170,0.010806760,,0.441842607,,,,,0.255191720,0.204058685,0.021096527,0.028581722,2.550851930,0.316267290,0.259452806,3.274869664,0.250757224,0.097337483,0.015028610,0.013207500,0.022069648,0.001988767,0.149625201,0.528526471,1.294289958,0.207665601,0.958498959,0.005917882,0.188018980,0.618199313
22,0.75,0.3,A,NE,1,7,69.834367248,0.344686655,0.310528518,2.625000000,38.698225353,3.828406531,48.299436591,3.931946246,119.127720437,15.533830467,7.286391555,12.765354067,22.732154623,-25.542682410,0.010772993,12.765354067,0.000000000,0.000000000,0.000000000,0.000000000,0.010787825,0.010805288,,0.504997188,,,,,0.445465573,0.243649901,0.031922411,0.025489169,3.139291057,0.469370847,0.356280515,3.106294884,0.191306910,0.027707539,0.012153732,0.010177433,0.022623063,0.003232343,0.126958352,0.596510144,0.752379604,0.157889183,0.748572487,0.000308254,0.180448824,0.460535079
23,0.5,0.5,A,NE,1,8,65.837050269,0.354687712,0.319538480,2.630000000,41.541751697,4.281134322,47.527452725,3.609316444,103.377098986,13.913714467,4.269749722,11.228677410,19.994955141,-25.655697753,0.010771305,11.228677410,0.000000000,0.000000000,0.000000000,0.000000000,0.010784716,0.010803082,,0.395612737,,,,,0.486515382,0.223377127,0.026879257,0.024866250,3.571241813,0.354276123,0.283242197,2.971798125,0.165631286,0.083690256,0.019708405,0.014416784,0.022319148,0.002700382,0.134697676,0.769474547,0.926943113,0.256297635,0.980765617,0.000826525,0.290470653,0.666374495
24,0.25,0.8,A,NE,1,9,61.839733290,0.364688769,0.328548441,2.635000000,27.072125368,2.988400741,41.827778062,3.520764275,103.503986931,14.564529510,4.880591041,11.030585515,19.641820349,-25.516824352,0.010772898,11.030585515,0.000000000,0.000000000,0.000000000,0.000000000,0.010783846,0.010805101,,0.394861787,,,,,0.507933622,0.245494009,0.017493608,0.017934631,2.234973111,0.565287974,0.343691612,2.611784689,0.116707402,0.048874580,0.022697503,0.019885700,0.022127832,0.003439192,0.160507169,0.950859945,1.319823256,0.329827437,1.605245490,0.011344182,0.480371695,0.543746758
25,0,1.0,A,NE,1,10,57.842416311,0.374689826,0.337558402,2.640000000,30.024841104,4.264046549,39.375029356,3.574806365,92.502381829,13.131203823,4.167870809,10.807720789,19.244576535,-25.701642305,0.010770890,10.807720789,0.000000000,0.000000000,0.000000000,0.000000000,0.010789854,0.010804259,,0.367010435,,,,,0.760806302,0.355240297,0.014061356,0.018734045,3.147999950,0.664383936,0.390341421,2.520081008,0.127991323,0.047007059,0.022479395,0.019188580,0.021796403,0.004086586,0.156937282,0.939623623,0.985868643,0.268207029,1.305670421,0.000000000,0.544378483,0.521848948
26,1,0.0,A,NE,1,6,73.831684227,0.298994975,0.269364842,2.730000000,22.649574892,3.149476778,38.081700182,5.015088977,106.308849035,15.623503500,6.496757808,10.713605311,19.079302938,-25.253817176,0.010774566,10.713605311,0.000000000,0.000000000,0.000000000,0.000000000,0.010795980,0.010807135,,0.361259577,,,,,1.048809818,0.341830385,0.037160331,0.032428796,1.758836575,1.309554856,0.477502600,3.228031521,0.286704554,0.079864327,0.017372937,0.011563039,0.023294241,0.001387281,0.316441562,0.736095897,1.130407330,0.257401669,0.944106122,0.009128162,0.171901115,0.692651868
27,0.75,0.3,A,NE,1,7,69.834367248,0.325556715,0.293294338,2.692500000,21.443222303,2.860877695,38.005051021,4.504674670,83.010088589,12.580998962,5.568526908,9.598310110,17.092076143,-25.343478649,0.010773450,9.598310110,0.000000000,0.000000000,0.000000000,0.000000000,0.010789917,0.010807558,,0.380937728,,,,,0.814786144,0.403985962,0.026972500,0.023206689,1.642105588,0.973946879,0.496464676,3.034263115,0.130735681,0.017001135,0.007449632,0.006342224,0.024715318,0.001548631,0.190898967,0.697414220,0.425035143,0.082231990,0.377748985,0.000000000,0.071979084,0.670754057
28,0.5,0.5,A,NE,1,8,65.837050269,0.352118455,0.317223833,2.655000000,17.019793365,2.564067424,36.380038671,4.295372640,88.455458086,12.293483199,5.604036354,9.443585261,16.815793850,-25.771897457,0.010769082,9.443585261,0.000000000,0.000000000,0.000000000,0.000000000,0.010791919,0.010809276,,0.341828969,,,,,0.861326848,0.506265781,0.019746709,0.019854063,1.196474795,0.994981014,0.585018236,2.715373391,0.171947168,0.051162842,0.008703325,0.007978895,0.023911086,0.001198118,0.179615130,1.042573515,0.609682764,0.089021164,0.487746211,0.000000000,0.075555778,0.486812452
29,0.25,0.8,A,NE,1,9,61.839733290,0.378680195,0.341153329,2.617500000,19.281950432,2.873801216,35.160645933,4.502916246,78.253354115,10.269568557,2.960640120,7.641468213,13.605659601,-25.713247754,0.010768920,7.641468213,0.000000000,0.000000000,0.000000000,0.000000000,0.010794023,0.010802918,,0.359778650,,,,,0.725590085,0.514691929,0.012966709,0.023072242,1.633519202,0.954481537,0.652780008,2.895654701,0.112395312,0.018944592,0.006278675,0.009555047,0.023015840,0.001715037,0.128001153,1.135329856,0.513805363,0.063236226,0.698469579,0.006780544,0.104393907,0.670754057
30,0,1.0,A,NE,1,10,57.842416311,0.405241935,0.365082825,2.580000000,20.786860899,3.135111338,35.622591094,4.314128654,67.775200296,8.966119296,2.074714211,8.101503860,14.424295453,-25.605773455,0.010770908,8.101503860,0.000000000,0.000000000,0.000000000,0.000000000,0.010790577,0.010802479,,0.393973532,,,,,0.959566365,0.666691382,0.012912795,0.016915352,1.508853591,1.028777142,0.653005636,2.632345877,0.136093032,0.015282411,0.005880754,0.007731632,0.020397979,0.001124603,0.102306931,1.086144213,0.301324985,0.039418699,0.441836548,0.000000000,0.063451696,0.631337999
31,1,0.0,A,NE,1,6,73.831684227,0.521870287,0.470153411,2.850000000,10.695571727,1.124589264,22.648666379,2.414196726,60.148217735,8.772631258,3.897838648,6.783151852,11.642979492,-26.137784552,0.010765530,6.783151852,0.000000000,0.000000000,0.000000000,0.000000000,0.010788120,0.010804321,,0.471199008,,,,,0.165177606,0.086080609,0.010988520,0.018293802,0.873331049,0.358593296,0.168821230,1.886782200,0.126355036,0.083519349,0.021464941,0.011928095,0.023077577,0.000997527,0.071904067,0.802586787,0.646481138,0.193686779,0.562000735,0.011252730,0.074693040,0.626958437
32,0.75,0.3,A,NE,1,7,69.834367248,0.492713199,0.443885765,2.767500000,12.527133320,1.255780909,24.133302322,2.140905850,48.575210473,7.668954877,3.039210228,6.547054405,11.238277573,-26.763838580,0.010758042,6.547054405,0.000000000,0.000000000,0.000000000,0.000000000,0.010798358,0.010803893,,0.448330704,,,,,0.189424408,0.141827103,0.013311858,0.016656405,0.924529398,0.334789148,0.192318838,1.613797863,0.115582438,0.021081256,0.009279972,0.007802315,0.026411732,0.001586828,0.063610773,0.686898616,0.369915297,0.079079088,0.350179181,0.000000000,0.043887951,0.749586174
33,0.5,0.5,A,NE,1,8,65.837050269,0.463556111,0.417618118,2.685000000,12.310207914,1.273580024,25.949092932,2.449900340,71.133431395,8.141067396,3.113538310,7.468619160,12.821196463,-26.920255432,0.010756677,7.468619160,0.000000000,0.000000000,0.000000000,0.000000000,0.010780663,0.010808964,,0.417974244,,,,,0.192793165,0.145962201,0.010205949,0.011664904,0.934824658,0.366101914,0.223216200,1.860582227,0.087936473,0.077585908,0.016500313,0.013309188,0.023005213,0.001470120,0.091631042,0.865962406,0.777283820,0.162124800,0.729561601,0.017793328,0.103289187,0.771483984
34,0.25,0.8,A,NE,1,9,61.839733290,0.434399023,0.391350471,2.602500000,15.115148693,1.730040348,28.215663048,2.925857441,52.059366819,7.048197691,2.381475585,7.791894280,13.376971182,-26.601170339,0.010760062,7.791894280,0.000000000,0.000000000,0.000000000,0.000000000,0.010782771,0.010810737,,0.367300059,,,,,0.276864820,0.251695291,0.014768826,0.013648071,1.201480237,0.430800200,0.337052824,2.158004416,0.122818449,0.031745429,0.012941434,0.010794382,0.021779736,0.001607602,0.104189202,0.840414504,0.677325749,0.133404603,0.638099964,0.000000000,0.104350746,0.740827050
35,0,1.0,A,NE,1,10,57.842416311,0.405241935,0.365082825,2.520000000,14.909531808,1.917079868,30.826961436,3.169218175,42.321684815,6.411967912,2.341299558,8.262030538,14.184978853,-25.721526853,0.010769733,8.262030538,0.000000000,0.000000000,0.000000000,0.000000000,0.010788820,0.010807782,,0.326527723,,,,,0.373034357,0.301086431,0.014327896,0.012557750,1.242959080,0.567371962,0.469225606,2.132620606,0.127217399,0.015332382,0.006104819,0.006995734,0.019549074,0.001108082,0.090550548,0.647393463,0.295431799,0.038653141,0.368468461,0.000000000,0.052387129,0.745206612
36,1,0.0,A,NE,1,6,73.831684227,0.345600000,0.311351351,2.730000000,23.769767960,3.031958200,44.765631990,4.444247103,121.677738603,17.436825878,9.565844176,19.668445039,32.611465619,-24.420474581,0.010786853,19.668445039,0.000000000,0.000000000,0.000000000,0.000000000,0.010791692,0.010798371,,0.457553049,,,,,0.240254977,0.118293481,0.016281998,0.025636294,2.673409742,0.573585832,0.196238798,3.674422474,0.326096816,0.059614120,0.009332064,0.013956518,0.022842788,0.001933754,0.072256320,0.372743550,0.748009808,0.101063825,0.924012116,0.000000000,0.213127795,0.508710262
37,0.75,0.3,A,NE,1,7,69.834367248,0.350407349,0.315682296,2.690000000,22.433467251,1.960223938,42.029197995,3.859614119,97.600034728,13.714671339,6.149137031,18.092545769,29.998047756,-24.946559159,0.010780865,18.092545769,0.000000000,0.000000000,0.000000000,0.000000000,0.010795069,0.010797194,,0.375657545,,,,,0.270874708,0.144933796,0.017899736,0.021048870,1.544415434,0.506929127,0.254142881,3.098542111,0.311358427,0.017379575,0.006670987,0.011438748,0.022515732,0.003152761,0.108768903,0.679652935,0.426797200,0.063684076,0.775104223,0.000000000,0.137563641,0.661994933
38,0.5,0.5,A,NE,1,8,65.837050269,0.355214698,0.320013242,2.650000000,26.154985568,2.593018147,42.238747141,4.029533026,101.603358321,13.761921610,5.133408143,15.837189438,26.258031361,-25.698953343,0.010772198,15.837189438,0.000000000,0.000000000,0.000000000,0.000000000,0.010790222,0.010802060,,0.369168009,,,,,0.300665646,0.182897500,0.031480777,0.043313160,2.109455002,0.566982249,0.274346249,3.188204528,0.246390734,0.065266703,0.013048755,0.013372833,0.020923411,0.001834365,0.113927580,1.059556631,0.834342586,0.167686500,0.987305393,0.007586823,0.186500107,0.740827050
39,0.25,0.8,A,NE,1,9,61.839733290,0.360022047,0.324344187,2.610000000,22.460746294,2.188680497,39.639598552,3.713406594,75.811078956,10.513060652,6.462573242,12.137269832,20.122793456,-25.786826347,0.010770275,12.137269832,0.000000000,0.000000000,0.000000000,0.000000000,0.010776748,0.010810521,,0.376869108,,,,,0.404483913,0.253077530,0.011846761,0.015481112,1.531119055,0.638635645,0.384237710,2.690533239,0.198143718,0.040675184,0.018159265,0.013854846,0.022676250,0.001814386,0.149875081,1.393481396,1.059656469,0.248264168,1.007907313,0.000000000,0.142180933,0.429878145
40,0,1.0,A,NE,1,10,57.842416311,0.364829396,0.328675132,2.570000000,26.529692840,2.861291629,38.543700790,3.797381682,60.490833548,8.356609000,3.244707438,10.171198690,16.862620675,-25.420910983,0.010773572,10.171198690,0.000000000,0.000000000,0.000000000,0.000000000,0.010778755,0.010808283,,0.339361982,,,,,0.579403140,0.358326529,0.012378342,0.014168838,1.923561960,0.725774098,0.460395298,2.611212286,0.121591814,0.027264617,0.012590993,0.011927860,0.021519138,0.001137289,0.143889679,1.453740398,0.697227203,0.147772116,0.855893809,0.000000000,0.077666518,0.609440189
41,1,0.0,O,JO,1,11,73.831684227,0.405213270,0.332142025,3.370000000,50.845247537,2.148040965,63.679259245,3.185248940,240.556673355,25.990962579,4.319784157,43.570885798,77.859846868,2290.777575014,0.035745719,57.016673862,20.843173006,7.250473898,287.473250713,206.822630226,0.011618076,0.020187577,43.343060592,0.675270353,15.077249965,1.033383041,0.359471025,22.687194888,0.087034825,0.137321612,0.010402045,,1.923684528,0.244986914,0.192980920,2.747281106,0.261783043,0.045851801,0.014513182,0.028702632,0.024265387,0.001606462,0.075791714,0.096481964,1.059111190,0.145329699,1.862879562,0.037648563,0.242165395,1.025498583
42,0.75,0.3,O,JO,1,12,69.834367248,0.390866474,0.320382356,3.322500000,45.122760190,2.376153507,69.518193608,3.652387772,167.094696776,21.568625316,3.853864710,46.486572991,83.074814427,2366.741656936,0.036537693,60.124470953,22.950343475,7.700811832,298.024987165,212.935128017,0.011755720,0.021166010,33.234414120,0.591520112,11.151552907,1.313324534,0.440675980,19.293040720,0.117632465,0.155952131,0.008838729,,2.102568911,0.302992712,0.282050569,3.067344492,0.402873567,0.029071631,0.010439917,0.022635193,0.035517730,0.001577651,0.080229418,0.080831514,0.723500838,0.099567597,1.550294350,0.013188566,0.274984574,0.994841649
43,0.5,0.5,O,JO,1,13,65.837050269,0.376519679,0.308622687,3.275000000,45.466165215,2.159094243,65.043345748,3.576931456,161.701497134,20.754873052,5.436067244,46.977972700,83.957654165,2423.380344568,0.037140771,60.220513834,23.737140331,7.672466081,309.380844180,219.513443467,0.011530961,0.021985082,34.681002679,0.593668352,11.209809312,0.948065774,0.306439714,19.188715107,0.123964920,0.120727031,0.006790092,,1.914402292,0.444516002,0.273832958,2.858582496,0.412974863,0.033883849,0.005629336,0.027610462,0.037265051,0.001636026,0.101881371,0.032502023,0.773172815,0.112631515,1.787861211,0.002847653,0.256625817,0.806520481
44,0.25,0.8,O,JO,1,14,61.839733290,0.362172883,0.296863019,3.227500000,32.822535054,2.045298368,66.867433392,4.426478656,148.259808541,19.282283890,3.968195415,48.878774221,87.359533101,2531.137476943,0.038270771,61.602682482,25.756850619,8.008065003,321.636382919,226.612934040,0.011984366,0.022053548,31.995992180,0.554015883,9.947877131,1.554661947,0.483360102,18.439302236,0.112285233,0.129837315,0.009702140,,1.803175820,0.967047556,0.245729140,3.213701960,0.609436094,0.032958542,0.006102696,0.025536399,0.023932578,0.001713757,0.101612286,0.044673674,0.829784992,0.147869851,1.893221616,0.032503872,0.291600081,0.990462087
45,0,1.0,O,JO,1,15,57.842416311,0.347826087,0.285103350,3.180000000,46.325576395,3.288562901,67.588230640,4.795323314,154.228779279,17.187501071,3.844769039,50.349351935,89.992749228,2643.253346189,0.039447371,62.326618358,27.666130870,8.260940203,334.902931000,234.298090528,0.012104260,0.020906704,29.891773845,0.519333947,8.925503804,1.724986269,0.515070520,17.701514527,0.853216274,0.165235546,0.010883783,,2.270111081,1.036978230,0.285907566,3.472437518,0.628890779,0.014782084,0.003796738,0.023191218,0.023433371,0.001724083,0.099206633,0.050575936,0.385144677,0.033530715,1.780337648,0.014451321,0.308574918,1.104330700
46,1,0.0,O,JO,1,11,73.831684227,0.405213270,0.332142025,3.120000000,42.973651256,1.753912894,67.669492561,3.206739020,134.298482623,14.304656974,4.969713698,42.247058792,75.494090778,2432.519457880,0.037242068,54.070514962,21.423575816,7.452371921,287.473250713,206.822630226,0.011663334,0.023175936,31.875761237,0.598051739,11.088252962,1.149419680,0.399835351,18.940460234,0.027077501,0.095415956,0.008311915,,1.631419437,0.150860363,0.202006754,2.853871904,0.505680287,0.021342200,0.004157416,0.018146532,0.021045272,0.001641939,0.085664952,0.047769111,0.494659955,0.028816744,1.195941182,0.014337409,0.240920358,0.810900043
47,0.75,0.3,O,JO,1,12,69.834367248,0.400476476,0.328259407,3.035000000,33.411919438,1.470455759,61.534839841,3.100286091,120.601994053,12.826505628,3.937290433,40.266142669,71.955555593,2572.038712553,0.038721798,50.393164609,21.562390984,7.412979997,290.873454296,207.825447176,0.011903287,0.023302537,28.926997317,0.572932220,9.944873583,1.327335995,0.456327649,17.814181229,0.038487345,0.116766690,0.007279027,,1.315201724,0.140033051,0.143512133,2.816740906,0.467240655,0.026797221,0.005871239,0.016877259,0.030586506,0.001909540,0.089249156,0.131266037,0.599901208,0.043742641,1.040623990,0.000000000,0.263426245,0.964184714
48,0.500,0.5,O,JO,1,13,65.837050269,0.395739682,0.324376789,2.950000000,34.581909315,1.986458936,59.557033665,3.400569047,111.947674758,13.033723144,3.384234133,34.990590922,62.529210932,2565.153868718,0.038703331,43.802634675,18.726576257,6.361900681,294.355055142,208.852270500,0.011866298,0.022253366,24.598337939,0.567764262,8.356689484,1.242121044,0.421980537,15.140570702,0.046869649,0.101220837,0.005952648,,1.838368450,0.228407020,0.216964665,2.955197362,0.372938923,0.033181514,0.005084225,0.016841673,0.031389605,0.002005558,0.112320679,0.081471534,0.815221619,0.091071796,1.155423801,0.000251866,0.240181316,1.117469386
49,0.250,0.8,O,JO,1,14,61.839733290,0.391002888,0.320494171,2.865000000,30.714173515,2.439910708,58.086894111,3.971817404,114.388362702,12.946637696,3.164418602,35.974489778,64.288670758,2834.078348362,0.041508381,43.099725194,21.188945563,7.112269610,297.921011508,209.903972670,0.012153343,0.022439959,25.540293306,0.546559155,8.572840558,1.533180912,0.514626647,16.199736815,0.093093211,0.153893323,0.008644223,,2.192924174,0.341193301,0.273489147,3.357134957,0.382512107,0.043395896,0.006737349,0.021543871,0.022342953,0.002041794,0.097580908,0.133844595,1.058286161,0.127429516,1.441661692,0.000000000,0.223307766,1.038637269
50,0.000,1.0,O,JO,1,15,57.842416311,0.386266094,0.316611553,2.780000000,28.250589305,3.026673511,57.435288770,4.952050874,113.118199459,11.813168372,3.097029922,30.015208194,53.639929938,2873.544551649,0.042008622,35.671697970,17.968231968,5.958141796,301.574426756,210.981468958,0.012321353,0.022682803,25.784645894,0.589324569,8.550010746,1.697441607,0.562859930,15.071012472,0.312913697,0.331399952,0.007240864,,2.382359862,0.676777318,0.432398033,3.842875523,0.310444589,0.028945066,0.009685285,0.017478344,0.019608479,0.001039621,0.088242293,0.149296010,0.650109962,0.100873203,1.124954319,0.000000000,0.112090243,1.069294203
51,1.000,0.0,O,JO,1,11,73.831684227,0.416452442,0.341354461,3.250000000,40.496703025,2.023157529,72.266246145,3.852886100,279.587494155,27.145502595,3.749256046,37.518701237,72.404559247,2292.592647326,0.035797215,54.426994905,17.977564341,6.427101604,279.714954716,201.240924170,0.011342956,0.021836410,59.252585361,0.767220905,21.183202529,0.790430184,0.282584170,27.892888303,0.029692354,0.090749870,0.006555208,,1.902715305,0.138424917,0.204500859,3.509960324,0.430331151,0.060545111,0.020577739,0.024090394,0.019961726,0.001322674,0.070920723,0.156039716,1.301026937,0.227021104,1.576450109,0.016822343,0.169845800,1.016739459
52,0.750,0.3,O,JO,1,12,69.834367248,0.397798515,0.326064357,3.135000000,37.084213227,1.273488213,64.346535775,3.170192113,177.863287934,19.658673905,5.194906497,35.900952890,69.287625105,2385.706685032,0.036807953,51.384675254,17.902949851,6.113735610,292.831600727,209.224518324,0.011414067,0.022876206,41.227762885,0.697230948,14.079000621,0.792175620,0.270522586,20.463258817,0.078149599,0.149950911,0.010100797,,1.045387702,0.211025808,0.224160194,2.735006111,0.415728557,0.063042622,0.022436118,0.025868342,0.031471852,0.001404329,0.100203066,0.227841802,1.341055083,0.233249684,1.580100938,0.000000000,0.182877284,0.859075225
53,0.500,0.5,O,JO,1,13,65.837050269,0.379144588,0.310774253,3.020000000,25.217830581,0.688685417,68.203152368,3.868202555,187.347402266,19.854167817,4.956760644,38.543819090,74.393732179,2551.579552641,0.038544207,53.886509460,20.507222719,6.674682473,307.238925613,217.993698695,0.011527132,0.022868238,43.386485463,0.679041594,14.121415565,0.987458021,0.321397433,21.117495471,0.034681173,0.117594442,0.003626095,,0.536409802,0.210843159,0.255859781,3.401499614,0.410115738,0.036550700,0.008508838,0.018764533,0.036668225,0.001152984,0.118943882,0.120961215,0.873593037,0.199735702,1.334948466,0.000000000,0.171346931,0.815279605
54,0.25,0.8,O,JO,1,14,61.839733290,0.360490662,0.295484149,2.905000000,36.357159054,1.258414515,72.267459777,4.431674780,178.169308563,18.923926113,6.508133706,39.651433794,76.537026814,2673.092605972,0.039827317,54.463000243,22.074026571,6.831160361,323.137291534,227.670417967,0.011983165,0.022742088,40.813537209,0.648992182,12.630401467,1.673138691,0.517779512,19.979341340,0.061115054,0.111118279,0.008840425,,1.086181182,0.197114165,0.226101543,4.008459072,0.425854457,0.040815139,0.006978900,0.024368609,0.020424142,0.001023405,0.127138849,0.143677233,1.049277762,0.150550153,1.863964076,0.000000000,0.159479397,0.648856247
55,0,1.0,O,JO,1,15,57.842416311,0.341836735,0.280194045,2.790000000,32.070970410,1.805493944,78.894552127,5.309349488,168.033574045,18.230457648,5.640832832,38.477982534,74.277140259,2736.038083052,0.040522640,52.343190128,21.933950131,6.436569807,340.770795463,238.403248506,0.012442865,0.022558872,37.897642426,0.633405210,11.121153259,2.517969068,0.738904009,18.296627074,0.097821471,0.146477463,0.006176816,,1.561195010,0.278689294,0.323014648,4.707645545,0.425963941,0.019588067,0.005467373,0.021088582,0.019126481,0.000784038,0.132499059,0.091421210,0.497238921,0.055594394,1.615428494,0.000000000,0.090895758,0.732067926
56,1,0.0,O,JO,1,11,73.831684227,0.301181102,0.246869756,3.050000000,43.887735427,1.443773383,89.948230619,5.318252813,173.590378408,17.166258797,7.310671349,49.151679541,91.246386739,2629.315910392,0.039366248,64.320734401,26.925652338,6.961660706,386.770534693,278.262061185,0.012077887,0.022653058,39.469759303,0.594465164,10.204955073,2.255092365,0.583056920,17.749672699,0.125482657,0.213667474,0.011431477,,1.104623252,0.224365304,0.350426222,4.743461287,0.509715097,0.008983805,0.002445537,0.013965879,0.020416378,0.001522109,0.085366715,0.079994660,0.245538210,0.010186051,1.255347212,0.016022308,0.297207049,0.635717561
57,0.75,0.3,O,JO,1,12,69.834367248,0.323881372,0.265476535,3.047500000,40.905813883,1.132597604,100.179341874,4.803544725,136.446253844,18.696934682,5.922291665,49.332525470,91.574539052,2712.113865527,0.040199905,63.760692453,27.813846599,7.733319024,359.662474956,256.974342575,0.011966243,0.025121666,37.486131639,0.574060400,10.422586244,2.289958643,0.636696570,18.792601839,0.043287410,0.135508414,0.008745035,,0.953801780,0.244667969,0.280696000,4.278180757,0.388549801,0.009092160,0.002599479,0.013143168,0.029005571,0.001363712,0.102907914,0.090373682,0.235539527,0.014284365,1.099164924,0.007387442,0.275988587,0.797761357
58,0.5,0.5,O,JO,1,13,65.837050269,0.346581642,0.284083314,3.045000000,48.836689564,1.897358366,76.908339290,4.617566997,225.342333530,23.283374834,3.622191983,45.019627423,83.561494346,2751.191248516,0.040612350,57.820053070,25.741441276,7.658739815,336.105441596,238.475213449,0.012088439,0.021816518,47.632697997,0.649175561,14.171950853,1.938260570,0.576682294,22.407372961,0.353768202,0.137939448,0.009843079,,1.405650716,2.663814262,0.352260667,1.601492069,0.437241701,0.016326449,0.003397132,0.014686513,0.031465647,0.002086911,0.070449412,0.062385927,0.425379047,0.051048076,1.139864295,0.000000000,0.343275969,0.968564276
59,0.25,0.8,O,JO,1,14,61.839733290,0.369281913,0.302690092,3.042500000,41.680924880,1.887783217,65.992311217,4.969464635,214.108479386,22.801016158,4.680012963,35.507213609,65.899508004,2623.782053519,0.039343867,46.456661319,19.442846685,6.163633240,315.444575100,222.250418444,0.011985615,0.021191521,42.698817944,0.687120601,13.536076165,1.531237430,0.485422020,20.185131426,0.761197205,0.159879710,0.009835388,,0.966706302,1.141795808,0.258920239,3.568748588,0.469242140,0.017472476,0.003773788,0.016381025,0.020731115,0.001787440,0.055364533,0.057913681,0.439535794,0.059341970,1.201146679,0.000000000,0.293973160,0.832797853
60,0.00,1.0,O,JO,1,15,57.842416311,0.391982183,0.321296871,3.040000000,32.995700997,3.144709862,68.407246451,6.606423274,150.038286859,17.414257122,4.415966211,34.576346291,64.166196050,2703.591823046,0.040161459,44.690944880,19.475251170,6.553424416,297.176711500,207.904827365,0.012202990,0.022839266,34.649044156,0.640175432,11.659407623,1.872197474,0.629994680,18.842826720,1.805672831,0.135514324,0.006572492,,1.203522707,2.479689978,0.244370093,3.882363203,0.431982438,0.028537861,0.009093705,0.022442286,0.018863575,0.002384950,0.063240368,0.049481577,0.624638059,0.094156663,1.495991705,0.000000000,0.336039007,0.863454787
