Vzorek,Plesne,Certovo,horizont,znaceni,cas,ID,CPcr,Dwpuvodni,DWovlhceni,pH,DOC,TN,DOC2,TN2,Cmic,Nmic,Pmic,CCO2,CCO2c,deltaCO2,CO2atm,CCO2.s,CCO2.g,CCO2.g2,Gl,Glcorrected,DOCatm,Cmicatm,Cmicg,CUE,Cmicg2,DOCg,DOCg2,Glfound,NH4,NO3,PO4,DOP,DON,NH42,NO32,DON2,PO42,BG,CELL,PH,ALA,CHIT,PHO,PER,bg,cell,phos,ala,chit,Sorption
26,1,0.0,A,NE,0,6,73.831684227,0.298994975,0.269364842,2.730000000,24.841180067,2.741400194,41.005723678,4.592186493,117.484062445,16.442836485,8.337702154,10.713605311,,,,,,,0.000000000,0.000000000,0.010783180,0.010812163,,0.361259577,,,,,0.646032930,0.206953125,0.051544976,0.040739206,1.888414140,0.974790732,0.322751480,3.294644282,0.394970609,0.080848508,0.013930504,0.011628566,0.023582741,0.001406077,0.313666551,0.720699009,1.082623789,0.178299729,0.915513211,0.015179593,0.165122999,0.692651868
27,0.75,0.3,A,NE,0,7,69.834367248,0.325556715,0.293294338,2.692500000,28.367350723,3.009330367,43.135857229,4.797698343,115.508336767,15.134384932,6.746213603,9.598310110,,,,,,,0.000000000,0.000000000,0.010783850,0.010799590,,0.380937728,,,,,0.697970927,0.323675499,0.046899122,0.035327376,1.987683941,0.866055046,0.400578851,3.531064446,0.324077181,0.032557557,0.010764665,0.011239858,0.022937656,0.002834861,0.325564124,0.798289778,0.940278184,0.139375734,0.877541363,0.012459323,0.145326862,0.670754057
28,0.5,0.5,A,NE,0,8,65.837050269,0.352118455,0.317223833,2.655000000,28.930997704,3.295340219,39.605976584,4.655395113,91.574912823,11.685064234,7.062340236,9.443585261,,,,,,,0.000000000,0.000000000,0.010783499,0.010798429,,0.341828969,,,,,0.748823341,0.357761152,0.038984481,0.031837165,2.188755725,1.012231552,0.449113999,3.194049561,0.268986660,0.051122073,0.009482446,0.008626779,0.023754964,0.001229808,0.190408768,1.015133352,0.655700355,0.100166576,0.561927390,0.000000000,0.105849786,0.486812452
29,0.25,0.8,A,NE,0,9,61.839733290,0.378680195,0.341153329,2.617500000,24.827131170,2.913553845,39.018716503,4.688717940,110.100947633,9.819317731,4.072237332,7.641468213,,,,,,,0.000000000,0.000000000,0.010780631,0.010798380,,0.359778650,,,,,0.681652970,0.349404684,0.032085505,0.025423576,1.882496192,0.891016814,0.538961955,3.258739171,0.250119146,0.021965438,0.007772788,0.007733704,0.023845575,0.001254091,0.145883133,1.134693743,0.549345051,0.087267601,0.520089497,0.025242679,0.113574159,0.670754057
30,0,1.0,A,NE,0,10,57.842416311,0.405241935,0.365082825,2.580000000,22.834917370,3.056907071,40.574360592,4.791966506,62.342848887,7.404380070,3.192360837,8.101503860,,,,,,,0.000000000,0.000000000,0.010781964,0.010796525,,0.393973532,,,,,0.752325056,0.504417527,0.023526051,0.020299767,1.800164488,0.820884130,0.519276338,3.451806038,0.202660276,0.027171608,0.009187173,0.008874085,0.024114324,0.001720924,0.138698858,1.218370509,0.619665292,0.098357999,0.553439002,0.001278613,0.126168093,0.631337999
31,1,0.0,A,NE,0,6,73.831684227,0.521870287,0.470153411,2.850000000,13.426446432,1.185619961,24.646202197,2.495578579,80.622363717,10.096481192,3.974788964,6.783151852,,,,,,,0.000000000,0.000000000,0.010777268,0.010802273,,0.471199008,,,,,0.111737793,0.076667915,0.017169562,0.014387293,0.997214253,0.286732941,0.079856085,2.128989553,0.417230671,0.088114736,0.018057395,0.010898209,0.022738764,0.001004271,0.079699656,0.756992848,0.695770291,0.142757483,0.498906573,0.010157822,0.076860169,0.626958437
32,0.75,0.3,A,NE,0,7,69.834367248,0.492713199,0.443885765,2.767500000,14.586758133,1.348724294,25.657082272,2.672845927,74.008200660,8.728316505,3.949772265,6.547054405,,,,,,,0.000000000,0.000000000,0.010773906,0.010804286,,0.448330704,,,,,0.203896561,0.116902839,0.020149643,0.020124054,1.027924894,0.292766303,0.172379427,2.207700198,0.141132240,0.024165142,0.011154985,0.008575425,0.027823647,0.001687260,0.077897410,0.740351198,0.466005040,0.100373819,0.432881596,0.004428059,0.057148061,0.749586174
33,0.5,0.5,A,NE,0,8,65.837050269,0.463556111,0.417618118,2.685000000,15.745494219,1.599003947,29.641212238,2.961973001,66.456916752,7.795817225,2.857075352,7.468619160,,,,,,,0.000000000,0.000000000,0.010777513,0.010803062,,0.417974244,,,,,0.221848872,0.133998086,0.017551140,0.012497178,1.243156989,0.375787150,0.224925359,2.361260492,0.184925231,0.063862651,0.012359559,0.010697327,0.024050009,0.001428370,0.092959034,0.812438786,0.551253432,0.111119780,0.528284539,0.000000000,0.065181994,0.771483984
34,0.25,0.8,A,NE,0,9,61.839733290,0.434399023,0.391350471,2.602500000,20.110766717,2.041923643,30.460603655,3.152027546,74.583750260,7.700416792,3.191775938,7.791894280,,,,,,,0.000000000,0.000000000,0.010773789,0.010818675,,0.367300059,,,,,0.337052824,0.191507286,0.028960100,0.026492006,1.513363532,0.426544483,0.255707824,2.469775239,0.176637770,0.033695860,0.012077918,0.009838062,0.022942475,0.001271827,0.083302086,0.867216550,0.742596802,0.130375394,0.592418912,0.005959560,0.107222969,0.740827050
35,0,1.0,A,NE,0,10,57.842416311,0.405241935,0.365082825,2.520000000,23.359475263,2.753865533,32.062134178,3.401494625,60.341859849,7.230766595,2.776025419,8.262030538,,,,,,,0.000000000,0.000000000,0.010777180,0.010800677,,0.326527723,,,,,0.431687558,0.273714937,0.040418816,0.019217333,2.048463038,0.461144499,0.367951080,2.572399047,0.193784643,0.025662536,0.006989926,0.008996645,0.022131821,0.001504613,0.124564804,0.824531731,0.590378180,0.059110526,0.561280150,0.001593089,0.082414434,0.745206612
