ID,Plesne,Certovo,Horizon,Labelling,TIME,DW_origin,DW_target,pH,DOC,TN,DOC2,TN2,Cmic,Nmic,Pmic,CCO2,CO2atm,CCO2.s,CCO2.g,CCO2.g2,Gl,DOCatm,Cmicatm,Cmicg,CUE,Cmicg2,DOCg,DOCg2,Glfound,NH4,NO3,PO4,DOP,DON,NH42,NO32,DON2,PO42,BG,CELL,PH,ALA,CHIT,PHO,PER,Sorption
55,0,1.0,Litter,YES,0,0.341836734693878,0.280194044831048,2.790000000000000,64.105389488858700,7.106194892773810,84.505258889145000,10.256479316479700,494.467373917308000,43.966826191037000,15.583070661847800,38.477982534228900,,,,,340.770795462686000,0.010778946794229,0.010785937332816,,0.819717877859832,,,,,2.811857798800430,0.275122886637476,0.027657386300657,0.037181542350641,4.019214207335910,2.694845657508310,0.412684329956214,7.148949329015160,0.767120582224926,0.028147423975678,0.009778176373577,0.019547113593895,0.022134797616944,0.000964037860876,0.159119353654746,0.128397035448485,0.732067926060123
56,1,0.0,Litter,YES,0,0.301181102362205,0.246869756034594,3.050000000000000,67.126247995951000,3.878830844448170,90.810722968652100,6.938554851110080,772.392181329115000,63.728655829230100,24.032051620934400,49.151679540817200,,,,,386.770534692810000,0.010768014108740,0.010786401147271,,0.794136064144696,,,,,0.869704683396080,0.131843529131852,0.038715299013804,0.072852775509084,2.877282631920240,1.341180227630740,0.236508786907578,5.360865836571760,0.923174982693950,0.009191131265301,0.002372830633193,0.013389546090134,0.033621897189240,0.001454368856768,0.086538802919181,0.146412694870910,0.635717561096619
57,0.75,0.3,Litter,YES,0,0.323881372428669,0.265476534777598,3.047500000000000,41.721276769813600,4.652858831516820,88.085595919996500,8.729000307649310,696.666988511354000,56.937831211543500,17.444980059899000,49.332525470129500,,,,,359.662474956490000,0.010766439322473,0.010791830949085,,0.780060863689164,,,,,2.612838815675970,0.130668827373793,0.019460439177240,0.043269580633533,1.909351188467060,3.607821889409750,0.288761976542086,4.832416441697470,0.864574164495169,0.012591508338311,0.002503607998376,0.016533066416292,0.028107665883972,0.002137613689387,0.079746827254519,0.096277489074912,0.797761356717057
58,0.5,0.5,Litter,YES,0,0.346581642495134,0.284083313520601,3.045000000000000,58.069242821056600,8.023980413923190,85.041919057126800,10.688925326646500,539.381543254088000,48.501680084763100,13.530553109589000,45.019627423411400,,,,,336.105441596306000,0.010765043718709,0.010793331196938,,0.829629153974184,,,,,5.009538647987370,0.163567542373346,0.031143228525016,0.044993886756834,2.850874223562480,5.059957316962660,0.285426617720616,5.343541391963250,0.722399331739556,0.026952325951959,0.006598644468459,0.023215990950487,0.027355300260092,0.003565730781847,0.081568541019473,0.083945146896040,0.968564276425087
59,0.25,0.8,Litter,YES,0,0.369281912561598,0.302690092263605,3.042500000000000,51.528783691325100,9.339403936603790,79.414202639765400,12.418267415117300,501.716540458912000,42.271266152393100,14.495871497721400,35.507213609149300,,,,,315.444575099706000,0.010769448300720,0.010792090607149,,0.852491324376454,,,,,7.201189668505800,0.172849303392978,0.038936190076807,0.042445292681881,1.965364964705010,7.107022562791940,0.269767534899818,5.041477317425560,0.758281024436465,0.020665933676232,0.003368213091337,0.017343474552659,0.020402622504096,0.002117879409903,0.070818801819904,0.056320468271641,0.832797853067422
60,0,1.0,Litter,YES,0,0.391982182628062,0.321296871006608,3.040000000000000,47.119352689047000,9.927090710369230,77.392815312722300,13.405254671987600,473.873643901671000,39.790362583724500,11.142115944070300,34.576346290953900,,,,,297.176711500000000,0.010767068691675,0.010789766392573,,0.824003356152975,,,,,7.561699289468570,0.199494857569269,0.040299222854962,0.036252561025631,2.165896563331390,8.250526744965730,0.300353059502953,4.854374867518870,0.689154861941588,0.034517354971211,0.011564973980557,0.019556732352014,0.021538123767290,0.002743814824340,0.061314132124671,0.082552682906619,0.863454787373992
61,1,0.0,Organic topsoil,YES,0,0.334685598377282,0.301518557096651,2.620000000000000,47.283002694724100,3.085854980208940,51.584750712906000,4.564570267990390,374.080634599648000,31.502228086239500,18.843221399304800,36.642093884357600,,,,,111.202823577374000,0.010785041718105,0.010803619531179,,0.675659806894045,,,,,0.316740743624684,0.165235455194342,0.041871787947280,0.045774869501181,2.603878781389910,0.324000372028637,0.190801972616962,4.049767923344790,0.379718082067900,0.076141536148030,0.015084694003949,0.008331349284043,0.023201372384392,0.001529417584401,0.135790277197661,0.516690777384559,0.618199312921437
62,0.75,0.3,Organic topsoil,YES,0,0.344686655358644,0.310528518341121,2.625000000000000,34.220350284974900,1.933453906064000,51.757347672982300,4.652793671348450,306.617769073066000,26.093184692412500,21.331489284072500,33.601985299461800,,,,,107.976282143884000,0.010777345048262,0.010806137714372,,0.728608365766383,,,,,0.189863035892393,0.152625975584200,0.029530829324406,0.033676782109968,1.590964894587410,0.394590248121802,0.243190183988077,4.015013239238570,0.629573650526265,0.035345927138594,0.014510532618011,0.010267816992934,0.024580291043612,0.003411793820506,0.113602493475231,0.724555607560193,0.460535079344794
63,0.5,0.5,Organic topsoil,YES,0,0.354687712340006,0.319538479585591,2.630000000000000,43.027032896330600,2.688455408308530,45.756803956628500,3.853255435446990,306.872781930481000,28.233214168559100,13.318450683707500,33.300742202225600,,,,,104.931696969980000,0.010779823369227,0.010805341831168,,0.632697035439131,,,,,0.310047451849300,0.218686207032035,0.031224400561627,0.031273723862812,2.159721749427200,0.405801780158185,0.255990187189695,3.191463468099110,0.292389924099448,0.117492472215866,0.023455818167678,0.015682621169830,0.023065428071178,0.003688541339856,0.146167710513242,0.983481593732125,0.666374495403189
64,0.25,0.8,Organic topsoil,YES,0,0.364688769321368,0.328548440830061,2.635000000000000,38.907294335741800,2.740734218806110,47.279242975681800,4.494930124616420,258.788579737303000,23.838103909902100,14.468754882337600,35.061773569202100,,,,,102.054098401478000,0.010782696818722,0.010811385670327,,0.631966621229177,,,,,0.390617900631238,0.182708372875902,0.025257624793807,0.028529331894867,2.167407945298970,0.564563802988716,0.275040190322107,3.655326131305600,0.225195973183555,0.038890115221184,0.018394157002917,0.013088374449379,0.023201183854686,0.002930205316545,0.134942451643237,0.968327103083663,0.543746758176911
65,0,1.0,Organic topsoil,YES,0,0.374689826302730,0.337558402074532,2.640000000000000,30.962169268435200,2.458241707673320,45.239445976350600,4.273456187869580,250.777774585060000,24.094627352794800,12.351139514158600,34.932097959057300,,,,,99.330115038049000,0.010785854420451,0.010807857884403,,0.604086195037834,,,,,0.576842576967255,0.196439425954025,0.022479038676609,0.036161328707010,1.684959704752040,0.672137196231640,0.293919054979650,3.307399936658290,0.204786116906809,0.038194466989617,0.020086765651518,0.013779128374154,0.023287842330310,0.002948723383223,0.130864405286382,1.034200332836620,0.521848947957933
66,1,0.0,Organic topsoil,YES,0,0.298994974874372,0.269364842229164,2.730000000000000,24.841180067031000,2.741400194338980,41.005723678447800,4.592186493441060,309.168585381035000,30.449697195080700,20.844255385124500,41.395052977586000,,,,,124.476953386506000,0.010783180020149,0.010812163251566,,0.598130759230550,,,,,0.646032929660087,0.206953124718838,0.051544975755882,0.040739205544220,1.888414139960050,0.974790731710243,0.322751480035269,3.294644281695550,0.394970608861110,0.080848507527848,0.013930504415708,0.011628565657432,0.023582740853275,0.001406077150331,0.313666550678958,0.720699009115028,0.692651867665962
67,0.75,0.3,Organic topsoil,YES,0,0.325556715026747,0.293294337861934,2.692500000000000,28.367350723037900,3.009330367210990,43.135857228651500,4.797698342905460,303.969307280723000,28.026638762883800,16.865534007634700,35.257623786021600,,,,,114.321044022019000,0.010783850190560,0.010799590082152,,0.618223356980852,,,,,0.697970926623357,0.323675499445281,0.046899122272568,0.035327375654916,1.987683941142350,0.866055045633538,0.400578851193182,3.531064446078740,0.324077181234730,0.032557557035475,0.010764664923280,0.011239857743760,0.022937655773042,0.002834861185423,0.325564124022485,0.798289778003439,0.670754057446984
68,0.5,0.5,Organic topsoil,YES,0,0.352118455179121,0.317223833494704,2.655000000000000,28.930997703512500,3.295340218609430,39.605976583878300,4.655395112698720,240.986612691884000,21.639007839954000,17.655850589490300,35.639903066290200,,,,,105.697338503045000,0.010783499348150,0.010798429032967,,0.577478218701030,,,,,0.748823341472274,0.357761151725035,0.038984481243986,0.031837165214069,2.188755725412120,1.012231552134400,0.449113999272434,3.194049561291890,0.268986659625363,0.051122072804622,0.009482445934569,0.008626779256613,0.023754963732733,0.001229807864429,0.190408768007688,1.015133352306840,0.486812451607568
69,0.25,0.8,Organic topsoil,YES,0,0.378680195331496,0.341153329127474,2.617500000000000,24.827131169884500,2.913553845139600,39.018716502599400,4.688717939720540,289.739335875080000,18.183921723681900,10.180593330261800,27.690957084506400,,,,,98.283417007473000,0.010780631153609,0.010798380047451,,0.596585748303980,,,,,0.681652969549734,0.349404683593633,0.032085505003157,0.025423575657058,1.882496191996230,0.891016813890669,0.538961955052214,3.258739170777660,0.250119145967382,0.021965437802226,0.007772788242634,0.007733703713952,0.023845575085423,0.001254091395812,0.145883133378525,1.134693742874510,0.670754057446984
70,0,1.0,Organic topsoil,YES,0,0.405241935483871,0.365082824760244,2.580000000000000,22.834917369853500,3.056907070642500,40.574360592362100,4.791966505800760,164.060128650958000,13.711814943839000,7.980902091523840,22.460774131670000,,,,,91.841392243370300,0.010781963715869,0.010796525014297,,0.631101250203447,,,,,0.752325055663865,0.504417526926396,0.023526050727955,0.020299767148987,1.800164488052240,0.820884130383060,0.519276337797096,3.451806037620600,0.202660275566933,0.027171607611310,0.009187173182708,0.008874084594716,0.024114324134554,0.001720924336488,0.138698857525950,1.218370509244500,0.631337999052823
71,1,0.0,Organic topsoil,YES,0,0.521870286576169,0.470153411329882,2.850000000000000,13.426446431923300,1.185619960762960,24.646202196569500,2.495578579297200,212.164115045396000,18.697187392985200,9.936972410523270,20.408823654862800,,,,,71.316540733546200,0.010777268073763,0.010802272832365,,0.701039419233683,,,,,0.111737792575906,0.076667914742979,0.017169561817235,0.014387292530694,0.997214253444072,0.286732940550309,0.079856085455063,2.128989553291830,0.417230670621667,0.088114736101714,0.018057394670857,0.010898209461928,0.022738763926807,0.001004271141410,0.079699655549505,0.756992847582168,0.626958437009028
72,0.75,0.3,Organic topsoil,YES,0,0.492713198803094,0.443885764687473,2.767500000000000,14.586758132809300,1.348724294084810,25.657082271792700,2.672845927425050,194.758422789984000,16.163549082723000,9.874430662694860,20.991339552372700,,,,,75.536810543430100,0.010773906278470,0.010804286115161,,0.681389859571588,,,,,0.203896560941822,0.116902838962701,0.020149642546267,0.020124054121109,1.027924894180280,0.292766302803426,0.172379426916115,2.207700197705510,0.141132240318960,0.024165142137126,0.011154984628236,0.008575424552803,0.027823647274756,0.001687259824292,0.077897409842725,0.740351198023961,0.749586174235306
73,0.5,0.5,Organic topsoil,YES,0,0.463556111030020,0.417618118045063,2.685000000000000,15.745494219444100,1.599003947429060,29.641212237675400,2.961973000795850,174.886623031679000,14.436698565140700,7.142688379238190,21.494575134667900,,,,,80.287979523209300,0.010777513462255,0.010803061959355,,0.653959394556116,,,,,0.221848872188864,0.133998086129483,0.017551139572818,0.012497177786878,1.243156989110710,0.375787149706663,0.224925358860204,2.361260492228980,0.184925230780740,0.063862650525721,0.012359559196258,0.010697327094839,0.024050008773438,0.001428369880065,0.092959033621208,0.812438786465371,0.771483984454284
74,0.25,0.8,Organic topsoil,YES,0,0.434399023256945,0.391350471402654,2.602500000000000,20.110766717010500,2.041923642746410,30.460603655357800,3.152027546241210,196.273026998995000,14.260031096613400,7.979439845387750,24.290320068269900,,,,,85.676950355900000,0.010773789410909,0.010818675053197,,0.604384272944429,,,,,0.337052824062825,0.191507286399333,0.028960099510789,0.026492005685507,1.513363532284250,0.426544482977053,0.255707824316061,2.469775238948090,0.176637769573521,0.033695860185034,0.012077918381626,0.009838061618140,0.022942474993826,0.001271826748909,0.083302086324259,0.867216550093797,0.740827050147714
75,0,1.0,Organic topsoil,YES,0,0.405241935483871,0.365082824760244,2.520000000000000,23.359475263151400,2.753865533147960,32.062134177517200,3.401494625374200,158.794368023973000,13.390308509794600,6.940063547596080,24.490023769170900,,,,,91.841392243370300,0.010777180259448,0.010800677447244,,0.560613441655681,,,,,0.431687557927706,0.273714937091843,0.040418816476224,0.019217332757380,2.048463038128420,0.461144498776638,0.367951079719177,2.572399046878380,0.193784643060352,0.025662536011112,0.006989925680526,0.008996645181323,0.022131821051655,0.001504613051528,0.124564804080122,0.824531731404253,0.745206612191510
76,1,0.0,Organic topsoil,YES,0,0.345600000000000,0.311351351351351,2.730000000000000,29.690615170228500,2.834802398088670,49.317240405138300,5.011883872630660,398.379631600570000,32.944207987827600,30.486838074701400,41.770713407731700,,,,,107.690924624528000,0.010776998768834,0.010803615930028,,0.689415164441107,,,,,0.214578872234119,0.122878499484495,0.032460288630574,0.042893972091367,2.497345026370050,0.522386456763687,0.213661868506622,4.275835547360350,0.477003320935992,0.035013895344521,0.004956111352714,0.013768692538835,0.021071149269256,0.001876591560305,0.086583685701398,0.361436550195638,0.508710261826546
77,0.75,0.3,Organic topsoil,YES,0,0.350407349081365,0.315682296469698,2.690000000000000,29.362407849204900,2.863742578535750,47.894070442054000,4.790276757242780,454.102707507500000,37.498385138301900,20.605949383572700,40.210875684900700,,,,,106.213478820602000,0.010776976657611,0.010807662061830,,0.612910489653274,,,,,0.347750668018474,0.129332498118704,0.033549218731579,0.038579356457084,2.386659412398570,0.592095632412904,0.233341150451928,3.964839974377950,0.414004062329001,0.017261825727627,0.006354675124165,0.008741976306835,0.026316891039355,0.001964574180059,0.097082362785809,0.598076230476045,0.661994933359393
78,0.5,0.5,Organic topsoil,YES,0,0.355214698162730,0.320013241588045,2.650000000000000,20.774275665162500,1.960237407933240,45.436310210651400,4.466713811375200,317.882732413880000,26.119481209254100,13.516921872540900,37.808015311562000,,,,,104.776023466199000,0.010777496343507,0.010813415402865,,0.606302527971324,,,,,0.403266681861898,0.150109777042620,0.018969185995411,0.028568328834837,1.406860949028720,0.664378884424395,0.236874566447641,3.565460360503170,0.256516380168823,0.077115525469180,0.013158717923805,0.013729569809999,0.022788481790404,0.001596512927465,0.129298768945750,1.148166907957820,0.740827050147714
79,0.25,0.8,Organic topsoil,YES,0,0.360022047244094,0.324344186706391,2.610000000000000,30.554963324696100,2.721243646823670,44.227549015597000,4.225734544200250,272.878350682427000,23.204886542177500,21.269269669458600,33.993398054407100,,,,,103.376956592336000,0.010777803364736,0.010808899222260,,0.614134563595885,,,,,0.501313576277896,0.202462023782118,0.029467574305551,0.028073837682992,2.017468046763660,0.712725008357629,0.323499103217080,3.189510432625540,0.178162838441107,0.039181085753953,0.018524979395800,0.012459320505571,0.022373701533203,0.001703971842791,0.137088119080554,1.349916560181770,0.429878145038225
80,0,1.0,Organic topsoil,YES,0,0.364829396325459,0.328675131824738,2.570000000000000,28.556349283271200,2.733162748601980,41.360469730817800,4.173526812811000,246.994510580275000,18.484983833062000,9.769891215943770,30.198501864971200,,,,,102.014760666476000,0.010778958527888,0.010833208475444,,0.574795792698851,,,,,0.566373083973935,0.245399380709565,0.027605668516527,0.022857646904172,1.921390283918480,0.764140372498576,0.383517970206276,3.025868470106140,0.200462179895641,0.024977717844653,0.008692040439323,0.009850600103437,0.020701060366815,0.001025384293345,0.144011941977120,1.663436830788910,0.609440188833846
1,1,0.0,Litter,NO,1,0.405213270142180,0.332142024706705,3.370000000000000,55.282421237662600,3.534151136823740,72.291611043858000,6.252313183983040,744.258291527340000,68.287515538964200,10.204878282301400,20.048980896166000,0.010784759245147,20.048980896166000,0.000000000000000,0.000000000000000,0.000000000000000,0.010771100374697,0.010786396321046,,0.845496094811250,,,,,2.221644489525030,0.221347825905473,0.019929152339465,0.027575899936787,1.091158821393240,2.390126718175410,0.312465765889862,3.549720699917770,0.359341940528509,0.031501405114533,0.008814239244921,0.023017843962929,0.035862705118131,0.000887951529698,0.066426644802046,0.080437938082571,1.025498582994430
