Time,CO2,Gl,DNA,CLC,Glinit,DNAinit,CLCinit,DOCinit
47.43,0.1238126,,,,49.95836803,1.0616153,5.166425,2.06657
48.45,0.1160743,,,,49.95836803,1.0616153,5.166425,2.06657
49.47,0.1160743,,,,49.95836803,1.0616153,5.166425,2.06657
51.25,0.108336,,,,49.95836803,1.0616153,5.166425,2.06657
52.01,0.1160743,,,,49.95836803,1.0616153,5.166425,2.06657
53.29,0.1160743,,,,49.95836803,1.0616153,5.166425,2.06657
54.81,0.1005977,,,,49.95836803,1.0616153,5.166425,2.06657
56.85,0.0928594,,,,49.95836803,1.0616153,5.166425,2.06657
58.64,0.1005977,,,,49.95836803,1.0616153,5.166425,2.06657
60.16,0.1005977,,,,49.95836803,1.0616153,5.166425,2.06657
61.18,0.1005977,,,,49.95836803,1.0616153,5.166425,2.06657
62.97,0.1005977,,,,49.95836803,1.0616153,5.166425,2.06657
64.49,0.0928594,,,,49.95836803,1.0616153,5.166425,2.06657
66.28,0.0928594,,,,49.95836803,1.0616153,5.166425,2.06657
67.81,0.1005977,,,,49.95836803,1.0616153,5.166425,2.06657
69.59,0.1005977,,,,49.95836803,1.0616153,5.166425,2.06657
70.61,0.0928594,,,,49.95836803,1.0616153,5.166425,2.06657
71.88,0.1005977,,1.6905723,9.73231731,49.95836803,1.0616153,5.166425,2.06657
73.92,0.108336,,,,49.95836803,1.0616153,5.166425,2.06657
76.21,0.0928594,,,,49.95836803,1.0616153,5.166425,2.06657
78.25,0.0928594,,,,49.95836803,1.0616153,5.166425,2.06657
80.8,0.0928594,,,,49.95836803,1.0616153,5.166425,2.06657
83.35,0.0928594,,,,49.95836803,1.0616153,5.166425,2.06657
86.41,0.0928594,,,,49.95836803,1.0616153,5.166425,2.06657
89.46,0.1005977,,,,49.95836803,1.0616153,5.166425,2.06657
92.01,0.1005977,,,,49.95836803,1.0616153,5.166425,2.06657
93.79,0.0928594,,,,49.95836803,1.0616153,5.166425,2.06657
96.85,0.1005977,,,,49.95836803,1.0616153,5.166425,2.06657
98.38,0.1005977,,,,49.95836803,1.0616153,5.166425,2.06657
100.93,0.1005977,,,,49.95836803,1.0616153,5.166425,2.06657
102.97,0.0928594,,,,49.95836803,1.0616153,5.166425,2.06657
105,0.0851211,,,,49.95836803,1.0616153,5.166425,2.06657
106.53,0.0928594,,,,49.95836803,1.0616153,5.166425,2.06657
107.55,0.0851211,,,,49.95836803,1.0616153,5.166425,2.06657
108.82,0.0851211,,,,49.95836803,1.0616153,5.166425,2.06657
110.61,0.0928594,,,,49.95836803,1.0616153,5.166425,2.06657
112.39,0.0851211,,,,49.95836803,1.0616153,5.166425,2.06657
113.67,0.0928594,,,,49.95836803,1.0616153,5.166425,2.06657
115.19,0.0851211,,,,49.95836803,1.0616153,5.166425,2.06657
116.47,0.0851211,,,,49.95836803,1.0616153,5.166425,2.06657
118,0.0851211,,,,49.95836803,1.0616153,5.166425,2.06657
119.78,0.0851211,,,,49.95836803,1.0616153,5.166425,2.06657
121.31,0.0851211,,,,49.95836803,1.0616153,5.166425,2.06657
122.84,0.0851211,,,,49.95836803,1.0616153,5.166425,2.06657
124.37,0.0928594,,,,49.95836803,1.0616153,5.166425,2.06657
125.89,0.0851211,,,,49.95836803,1.0616153,5.166425,2.06657
127.17,0.0851211,,,,49.95836803,1.0616153,5.166425,2.06657
128.44,0.0773829,,,,49.95836803,1.0616153,5.166425,2.06657
130.23,0.0851211,,,,49.95836803,1.0616153,5.166425,2.06657
133.03,0.0851211,,,,49.95836803,1.0616153,5.166425,2.06657
134.81,0.0851211,,,,49.95836803,1.0616153,5.166425,2.06657
136.09,0.0773829,,,,49.95836803,1.0616153,5.166425,2.06657
137.36,0.0696446,,,,49.95836803,1.0616153,5.166425,2.06657
138.12,0.0619063,,,,49.95836803,1.0616153,5.166425,2.06657
139.4,0.0696446,,,,49.95836803,1.0616153,5.166425,2.06657
140.67,0.0696446,,,,49.95836803,1.0616153,5.166425,2.06657
141.69,0.0773829,,,,49.95836803,1.0616153,5.166425,2.06657
143.47,0.0619063,,,,49.95836803,1.0616153,5.166425,2.06657
144.75,0.0696446,,,,49.95836803,1.0616153,5.166425,2.06657
146.53,0.054168,,,,49.95836803,1.0616153,5.166425,2.06657
147.8,0.0619063,,,,49.95836803,1.0616153,5.166425,2.06657
149.33,0.0696446,,,,49.95836803,1.0616153,5.166425,2.06657
151.12,0.0696446,,,,49.95836803,1.0616153,5.166425,2.06657
152.39,0.0619063,,,,49.95836803,1.0616153,5.166425,2.06657
153.41,0.06190628,,,,49.95836803,1.0616153,5.166425,2.06657
